country name,pyramid distance,median age,GDP per capita,population density,Total confirmed deaths due to COVID-19 per million people,Total confirmed cases of COVID-19 per million people,,Entity,Total confirmed deaths due to COVID-19 per million people,Total confirmed cases of COVID-19 per million people
timor,0.046186637,18,6570.102,87.176,96.735,16997.117,,north america,2378.543,159110.461
togo,0.036670992,19.4,1429.813,143.366,32.082,4358.805,,north macedonia,4434.711,147572.745
trinidad and tobago,0.109977227,36.2,28763.071,266.886,2688.521,99470.989,,norway,487.958,258699.776
tunisia,0.092378926,32.7,10849.297,74.228,2381.498,86911.739,,oceania,221.356,138655.562
turkey,0.091453936,31.6,25129.341,104.914,1156.019,175667.667,,oman,814.224,74396.903
uganda,0.018172348,16.4,1697.707,213.759,76.31,3479.238,,pakistan,134.818,6777.24
ukraine,0.12261207,41.4,7894.393,77.39,2587.238,115962.423,,palau,330.142,223946.297
united arab emirates,0.202117683,34,67293.483,112.442,230.405,89386.906,,palestine,1082.762,125659.135
united kingdom,0.116879987,40.8,39753.244,272.898,2486.09,316365.299,,panama,1865.536,174863.057
united states,0.112420847,38.3,54225.446,35.608,2957.424,241170.326,,papua new guinea,70.512,4761.923
uruguay,0.102107454,35.6,20551.409,19.751,2059.881,256073.193,,paraguay,2594.45,89804.05
uzbekistan,0.076867502,28.2,6253.104,76.134,48.238,7012.277,,peru,6367.618,106423.929
vanuatu,0.042268471,23.1,2921.909,22.662,9.54,15629.77,,philippines,536.629,33143.777
venezuela,0.081724614,29,16745.022,36.253,198.259,18156.661,,poland,3056.751,158082.387
yemen,0.042975812,20.3,1479.147,53.508,70.349,387.398,,portugal,2146.653,358837.69
zambia,0.025393961,17.7,3689.251,22.995,209.665,16779.703,,qatar,231.017,123665.256
zimbabwe,0.033197686,19.6,1899.775,42.729,361.446,16357.488,,romania,3407.088,149979.674
,,,,,,,,russia,2490.919,121261.208
,,,,,,,,rwanda,109.893,9772.292
,,,,,,,,saint helena,,656.276
,,,,,,,,saint kitts and nevis,803.048,103667.874
,,,,,,,,saint lucia,1979.382,124717.328
,,,,,,,,saint pierre and miquelon,173.28,387454.514
,,,,,,,,saint vincent and the grenadines,952.646,74944.504
,,,,,,,,samoa,14.989,16588.057
,,,,,,,,san marino,3351.955,458129.962
,,,,,,,,sao tome and principe,326.821,26629.179
,,,,,,,,saudi arabia,256.192,21264.956
,,,,,,,,senegal,114.269,4997.584
,,,,,,,,serbia,2308.359,289081.774
,,,,,,,,seychelles,1658.073,413163.482
,,,,,,,,sierra leone,15.354,942.719
,,,,,,,,singapore,236.541,206864.273
,,,,,,,,slovakia,3578.461,455131.054
,,,,,,,,slovenia,3137.984,472782.569
,,,,,,,,solomon islands,194.604,17052.678
,,,,,,,,somalia,83.193,1618.081
,,,,,,,,south africa,1666.75,62101.35
,,,,,,,,south america,2970.392,129539.263
,,,,,,,,south korea,365.538,292050.293
,,,,,,,,south sudan,12.125,1521.872
,,,,,,,,spain,2193.615,247117.806
,,,,,,,,sri lanka,766.933,30814.326
,,,,,,,,sudan,109.265,1380.269
,,,,,,,,suriname,2238.94,133898.729
,,,,,,,,sweden,1821.428,245269.784
,,,,,,,,switzerland,1560.898,404875.386
,,,,,,,,syria,172.141,3049.458
,,,,,,,,taiwan,35.758,1079.689
,,,,,,,,tajikistan,12.821,1824.275
,,,,,,,,tanzania,13.008,549.851
,,,,,,,,thailand,368.659,54436.913
,,,,,,,,timor,96.735,16997.117
,,,,,,,,togo,32.082,4358.805
,,,,,,,,tonga,84.302,71797.226
,,,,,,,,trinidad and tobago,2688.521,99470.989
,,,,,,,,tunisia,2381.498,86911.739
,,,,,,,,turkey,1156.019,175667.667
,,,,,,,,turks and caicos islands,917.759,150996.788
,,,,,,,,uganda,76.31,3479.238
,,,,,,,,ukraine,2587.238,115962.423
,,,,,,,,united arab emirates,230.405,89386.906
,,,,,,,,united kingdom,2486.09,316365.299
,,,,,,,,united states,2957.424,241170.326
,,,,,,,,upper middle income,992.597,49942.56
,,,,,,,,uruguay,2059.881,256073.193
,,,,,,,,uzbekistan,48.238,7012.277
